trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.33, 'e': 0.06890682839466256}",30,21,7.208002997017511,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.33, 'e': 0.06720551273974976}",30,13,17.69258106583054,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.33, 'e': 0.06554620271802433}",25,20,7.839060780417903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.33, 'e': 0.06392786120670757}",25,7,29.458521256327998,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.33, 'e': 0.0623494766896734}",25,9,26.29494121659151,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.33, 'e': 0.06081006262521795}",30,16,16.697823559991193,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.33, 'e': 0.05930865682943872}",25,20,8.1986455332464,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.33, 'e': 0.057844320874838456}",25,15,19.102922900356464,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.33, 'e': 0.05641613950377735}",20,12,15.410867428271816,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.33, 'e': 0.05502322005640721}",25,17,15.904578228754524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.33, 'e': 0.05366469191273011}",25,13,18.20167728777842,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.33, 'e': 0.05233970594843238}",20,7,-1.0516343471603102,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.33, 'e': 0.051047434004154395}",20,5,22.07640389665192,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
